Country Code,Year,Country Name,CDP_City,CDP_TotalEmissions,CDP_Longitude,CDP_Latitude
ALB,2017,Albania,Tirana,610773.0,19.8187,41.3275
ALB,2019,Albania,Tirana,0.0,19.8187,41.3275
ARG,2020,Argentina,Almafuerte,0.0,,
ARG,2019,Argentina,Alpa Corral,0.0,,
ARG,2019,Argentina,Ameghino,0.0,,
ARG,2019,Argentina,Arequito,12128.27,,
ARG,2020,Argentina,Arequito,0.0,,
ARG,2019,Argentina,Arias,95216.70999999999,,
ARG,2019,Argentina,Armstrong,52083.05,,
ARG,2020,Argentina,Armstrong,0.0,,
ARG,2019,Argentina,Arteaga,27857.38,,
ARG,2020,Argentina,Arteaga,0.0,,
ARG,2018,Argentina,Ataliva,0.0,61,31
ARG,2019,Argentina,Ataliva,0.0,61,31
ARG,2020,Argentina,Balcarce,0.0,,
ARG,2013,Argentina,Buenos Aires,9813932.71,-58.3816,-34.6037
ARG,2014,Argentina,Buenos Aires,9886932.0,-58.3816,-34.6037
ARG,2015,Argentina,Buenos Aires,11438694.0,-58.3816,-34.6037
ARG,2016,Argentina,Buenos Aires,19667128.0,-58.3816,-34.6037
ARG,2017,Argentina,Buenos Aires,13193864.0,-58.3816,-34.6037
ARG,2018,Argentina,Buenos Aires,20511275.0,-58.3816,-34.6037
ARG,2019,Argentina,Buenos Aires,22299776.0,-58.3816,-34.6037
ARG,2020,Argentina,Buenos Aires,0.0,-58.3816,-34.6037
ARG,2019,Argentina,Camilo Aldao,91022.88,,
ARG,2020,Argentina,Camilo Aldao,0.0,,
ARG,2019,Argentina,Carcarana,104047.76999999999,,
ARG,2020,Argentina,Carcarana,0.0,,
ARG,2019,Argentina,Carlos Tejedor,0.0,,
ARG,2020,Argentina,Carlos Tejedor,0.0,,
ARG,2019,Argentina,Caseros,20938.190000000002,,
ARG,2020,Argentina,Caseros,0.0,,
ARG,2020,Argentina,Ceres (Argentina),0.0,,
ARG,2020,Argentina,Cerrito,0.0,,
ARG,2019,Argentina,Chacabuco,662343.5599999999,,
ARG,2020,Argentina,Chacabuco,0.0,,
ARG,2019,Argentina,Chañar Ladeado,39023.24,,
ARG,2020,Argentina,Chañaritos,0.0,,
ARG,2019,Argentina,City of La Rioja,634302.97,,
ARG,2020,Argentina,Concepción del Uruguay,0.0,,
ARG,2019,Argentina,Correa,58070.21,,
ARG,2020,Argentina,Correa,0.0,,
ARG,2019,Argentina,Cosquín,37604.54,,
ARG,2019,Argentina,Crespo,130575.31999999999,,
ARG,2020,Argentina,Crespo,0.0,,
ARG,2019,Argentina,Cruz Alta,27730.33,,
ARG,2017,Argentina,Córdoba,5099175.0,-64.1888,-31.4201
ARG,2018,Argentina,Córdoba,5099174.0,-64.1888,-31.4201
ARG,2019,Argentina,Córdoba,4814594.0,-64.1888,-31.4201
ARG,2019,Argentina,Dolores,0.0,,
ARG,2018,Argentina,"General Alvear, Buenos Aires",395490.62,-67.6955,-34.978
ARG,2019,Argentina,"General Alvear, Buenos Aires",395490.62,-67.6955,-34.978
ARG,2020,Argentina,General Lagos,0.0,,
ARG,2020,Argentina,General Pueyrredon,0.0,,
ARG,2020,Argentina,Gobernador Maciá,0.0,,
ARG,2019,Argentina,Godoy Cruz,443795.38,,
ARG,2020,Argentina,Godoy Cruz,0.0,,
ARG,2020,Argentina,Gualeguaychú,0.0,,
ARG,2019,Argentina,Guaminí,794110.6799999999,,
ARG,2020,Argentina,Guaminí,0.0,,
ARG,2019,Argentina,Herrera,37701.46,,
ARG,2019,Argentina,Juana Koslay,44050.65,,
ARG,2020,Argentina,Junín,0.0,,
ARG,2020,Argentina,Justiniano Posse,0.0,,
ARG,2020,Argentina,La Francia,0.0,,
ARG,2019,Argentina,La Paz,0.0,,
ARG,2020,Argentina,La Paz,0.0,,
