Unnamed: 0,City,Country,Year,TotalEmissions,Longitude,Latitude,Account Number,Population,LandArea(sqkm),HDI,GINI,Overall Score (GDP),Property Rights,Government Integrity,Judicial Effectiveness,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom,Country_Code
508,Piacenza,Italy,2005,615452.0,9.6865813,45.04737539999999,36495,103105.5,118.0,0.8792333333333334,34.82666666666667,62.27333333333334,60.29333333333332,44.94333333333334,56.86666666666665,53.99666666666667,25.08333333333333,67.24666666666666,72.64333333333335,58.14000000000001,83.11666666666666,85.57333333333332,79.83333333333333,59.66666666666666,ITA
269,Winnipeg,Canada,2005,5257325.0,-97.13749370000001,49.8997541,50579,723825.0,464.0,0.903,33.29402985074626,80.8,90.0,87.0,77.0816091954023,78.0,52.7,81.20804597701147,96.4,81.7,78.8,88.1,75.0,80.0,CAN
1228,Caracas,Venezuela,2005,986450.0,-66.8037185,10.4696404,31159,3518590.0,776.0,0.7725000000000001,38.87940929917293,36.075,5.0,18.625,67.76822911104446,75.225,54.925,64.32249647213447,44.6,30.875,46.7,61.375,3.75,20.0,VEN
167,São Paulo,Brazil,2005,15115000.0,-46.6333094,-23.5505199,31184,5632378.2515,3694.751717089304,0.695,57.6,63.4,50.0,40.0,49.7,90.2,82.7,22.8,70.0,57.5,78.6,59.0,50.0,50.0,BRA
189,Florianópolis,Brazil,2005,441664.0,-48.54817429999999,-27.59498839999999,50384,522500.0,438.0,0.698,56.5,62.0,50.0,40.0,50.88260869565219,90.2,68.1,18.70434782608696,70.0,57.2,77.2,62.8,50.0,50.0,BRA
649,Porto,Portugal,2005,1300000.0,-8.6291053,41.1579438,46514,238272.5,42.0,0.809,38.9,64.9,70.0,63.0,68.9,62.3,36.2,32.1,70.0,42.525,82.9,79.8,70.0,50.0,PRT
123,Sydney,Australia,2005,5457064.0,151.2069902,-33.8674869,31114,227878.8,26.0,0.906,34.48571428571428,79.0,90.0,88.0,90.93333333333334,59.1,60.9,85.03333333333332,85.0,85.8,84.0,77.2,70.0,90.0,AUS
164,Rio de Janeiro,Brazil,2005,11351700.0,-43.1970773,-22.9082998,31176,6498578.0,1224.6,0.7,56.3,61.7,50.0,39.0,49.7,86.2,69.9,22.8,70.0,64.6,72.7,65.2,50.0,50.0,BRA
469,Jakarta,Indonesia,2005,43860000.0,106.845599,-6.2087634,31166,10216080.5,662.0,0.632,33.0,52.9,30.0,19.0,39.3,77.5,90.0,90.1,55.0,49.1,71.7,77.2,30.0,30.0,IDN
486,Comune di Torino,Italy,2005,5065364.0,7.6868565,45.070312,35886,885408.6,130.0,0.865,33.8,64.9,70.0,53.0,55.4,49.6,27.4,66.9,70.0,74.5,84.7,80.2,70.0,70.0,ITA
489,Comune di Napoli,Italy,2005,2913435.0,-81.7948103,26.1420358,36158,983755.0,3694.751717089304,0.865,33.8,64.9,70.0,53.0,56.86666666666665,49.6,27.4,67.24666666666666,70.0,74.5,84.7,80.2,70.0,70.0,ITA
491,Oristano,Italy,2005,154534.0,8.588777,39.9094132,36252,31630.0,3694.751717089304,0.865,33.8,64.9,70.0,53.0,56.86666666666665,49.6,27.4,67.24666666666666,70.0,74.5,84.7,80.2,70.0,70.0,ITA
492,Venezia,Italy,2005,1418344.0,12.3155151,45.4408474,36254,261169.75,414.0,0.865,33.8,64.9,70.0,53.0,60.9,49.6,27.4,68.2,70.0,74.5,84.7,80.2,70.0,70.0,ITA
497,Genova,Italy,2005,2376739.0,9.318414500000001,44.3479608,36262,582563.6,1118.0,0.865,33.8,64.9,70.0,53.0,56.86666666666665,49.6,27.4,67.24666666666666,70.0,74.5,84.7,80.2,70.0,70.0,ITA
506,Padova,Italy,2005,1892158.0,11.8783489,45.411639,36494,210825.0,3694.751717089304,0.865,33.8,64.9,70.0,53.0,55.4,49.6,27.4,66.9,70.0,74.5,84.7,80.2,70.0,70.0,ITA
1074,Eugene,United States,2005,1250000.0,-123.0867,44.0519,54070,162773.3333333333,113.0,0.9,41.0,79.9,90.0,75.0,76.85,68.6,60.0,53.2,85.0,95.4,85.7,79.8,70.0,90.0,USA
1152,"University City, MO",United States,2005,501147.0,-90.3325,38.6682,58628,35371.0,15.3,0.9,41.0,79.9,90.0,75.0,76.50288600288599,68.6,60.0,54.01551226551214,85.0,95.4,85.7,79.8,70.0,90.0,USA
