<<<<<<< HEAD
Country Code,Year,City,Country Name,Temp_AvgTemperature,City_Longitude,City_Latitude,City_Population,City_Land_Area,City_HDI,City_GINI,City_Overall Score (GDP),City_Property Rights,City_Government Integrity,City_Judicial Effectiveness,City_Tax Burden,City_Government Spending,City_Fiscal Health,City_Business Freedom,City_Labor Freedom,City_Monetary Freedom,City_Trade Freedom,City_Investment Freedom,City_Financial Freedom
ALB,2012,Tirana,Albania,60.3197260273972,,,,,,,,,,,,,,,,,,,
ALB,2013,Tirana,Albania,60.413150684931466,,,,,,,,,,,,,,,,,,,
ALB,2014,Tirana,Albania,60.65302197802197,,,,,,,,,,,,,,,,,,,
ALB,2015,Tirana,Albania,60.96428571428581,,,,,,,,,,,,,,,,,,,
ALB,2016,Tirana,Albania,60.73259668508292,,,,,,,,,,,,,,,,,,,
ALB,2017,Tirana,Albania,60.38465753424662,,,,,,,,,,,,,,,,,,,
ALB,2018,Tirana,Albania,62.09611111111115,,,,,,,,,,,,,,,,,,,
ARE,2012,Abu Dhabi,United Arab Emirates,83.29289617486346,,,,,,,,,,,,,,,,,,,
ARE,2013,Abu Dhabi,United Arab Emirates,82.68410958904114,,,,,,,,,,,,,,,,,,,
ARE,2014,Abu Dhabi,United Arab Emirates,82.92609890109891,,,,,,,,,,,,,,,,,,,
ARE,2015,Abu Dhabi,United Arab Emirates,84.7840659340659,,,,,,,,,,,,,,,,,,,
ARE,2016,Abu Dhabi,United Arab Emirates,83.83839779005523,,,,,,,,,,,,,,,,,,,
ARE,2017,Abu Dhabi,United Arab Emirates,84.86273972602733,,,,,,,,,,,,,,,,,,,
ARE,2018,Abu Dhabi,United Arab Emirates,84.9706371191136,,,,,,,,,,,,,,,,,,,
ARE,2012,Dubai,United Arab Emirates,84.65819672131138,,,,,,,,,,,,,,,,,,,
ARE,2013,Dubai,United Arab Emirates,84.08575342465748,,,,,,,,,,,,,,,,,,,
ARE,2014,Dubai,United Arab Emirates,84.24615384615392,,,,,,,,,,,,,,,,,,,
ARE,2015,Dubai,United Arab Emirates,85.69478021978027,,,,,,,,,,,,,,,,,,,
ARE,2016,Dubai,United Arab Emirates,85.0458563535911,,,,,,,,,,,,,,,,,,,
