,Country Code,City,Year,Country Name,CDP_TotalEmissions,CDP_Longitude,CDP_Latitude,OWID_iso_code,OWID_co2,OWID_co2_growth_prct,OWID_co2_growth_abs,OWID_consumption_co2,OWID_trade_co2,OWID_trade_co2_share,OWID_co2_per_capita,OWID_consumption_co2_per_capita,OWID_share_global_co2,OWID_cumulative_co2,OWID_share_global_cumulative_co2,OWID_co2_per_gdp,OWID_consumption_co2_per_gdp,OWID_co2_per_unit_energy,OWID_cement_co2,OWID_coal_co2,OWID_flaring_co2,OWID_gas_co2,OWID_oil_co2,OWID_other_industry_co2,OWID_cement_co2_per_capita,OWID_coal_co2_per_capita,OWID_flaring_co2_per_capita,OWID_gas_co2_per_capita,OWID_oil_co2_per_capita,OWID_other_co2_per_capita,OWID_share_global_coal_co2,OWID_share_global_oil_co2,OWID_share_global_gas_co2,OWID_share_global_flaring_co2,OWID_share_global_cement_co2,OWID_cumulative_coal_co2,OWID_cumulative_oil_co2,OWID_cumulative_gas_co2,OWID_cumulative_flaring_co2,OWID_cumulative_cement_co2,OWID_share_global_cumulative_coal_co2,OWID_share_global_cumulative_oil_co2,OWID_share_global_cumulative_gas_co2,OWID_share_global_cumulative_flaring_co2,OWID_share_global_cumulative_cement_co2,OWID_total_ghg,OWID_ghg_per_capita,OWID_methane,OWID_methane_per_capita,OWID_nitrous_oxide,OWID_nitrous_oxide_per_capita,OWID_primary_energy_consumption,OWID_energy_per_capita,OWID_energy_per_gdp,OWID_population,OWID_gdp,GINI_GINI,POP_Population,GDP_GDP,HDI_HDI Rank,HDI_HDI,Temp_AvgTemperature,City_Longitude,City_Latitude,City_Population,City_Land_Area,City_HDI,City_GINI,City_Overall Score (GDP),City_Property Rights,City_Government Integrity,City_Judicial Effectiveness,City_Tax Burden,City_Government Spending,City_Fiscal Health,City_Business Freedom,City_Labor Freedom,City_Monetary Freedom,City_Trade Freedom,City_Investment Freedom,City_Financial Freedom
0,ALB,Tirana,2017,Albania,610773.0,19.8187,41.3275,ALB,5.404,20.212,0.909,6.186,0.782,14.462,1.874,2.145,0.015,271.513,0.017,,,,0.78,0.44,,0.084,4.1,,0.271,0.152,,0.029,1.422,,0.003,0.034,0.001,,0.053,65.683,172.627,16.06,,17.144000000000002,0.009000000000000001,0.031,0.006999999999999999,,0.045,,,,,,,,,,2884000.0,,33.2,59.383,64.4,69.0,0.79,60.384657534246614,,,,,,,,,,,,,,,,,,,
1,ARG,Arequito,2019,Argentina,12128.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9,91.991,52.2,,,,,,,,,,,,,,,,,,,,,,
2,ARG,Arias,2019,Argentina,95216.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9,91.991,52.2,,,,,,,,,,,,,,,,,,,,,,
3,ARG,Armstrong,2019,Argentina,52083.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9,91.991,52.2,,,,,,,,,,,,,,,,,,,,,,
4,ARG,Arteaga,2019,Argentina,27857.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9,91.991,52.2,,,,,,,,,,,,,,,,,,,,,,
5,ARG,Avellaneda,2019,Argentina,1533903.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9,91.991,52.2,,,,,,,,,,,,,,,,,,,,,,
6,ARG,Bell Ville,2019,Argentina,96806.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9,91.991,52.2,,,,,,,,,,,,,,,,,,,,,,
7,ARG,Bragado,2019,Argentina,668545.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9,91.991,52.2,,,,,,,,,,,,,,,,,,,,,,
8,ARG,Buenos Aires,2013,Argentina,9813932.71,-58.3816,-34.6037,ARG,190.152,-0.815,-1.5630000000000002,193.475,3.324,1.7480000000000002,4.506,4.585,0.5429999999999999,7165.754,0.498,0.225,0.228,0.194,4.581,4.84,1.887,91.338,87.506,,0.109,0.115,0.045,2.165,2.074,,0.032,0.752,1.396,0.541,0.321,508.214,4103.18,2215.065,171.707,167.58900000000003,0.07400000000000001,0.807,1.135,1.166,0.513,466.52,11.056,119.75,2.838,45.44,1.077,982.604,23286.662,1.16,42196000.0,847000000000.0,40.9,91.249,46.7,46.0,0.835,62.88054794520547,-58.3815931,-34.603723200000005,3016817.0,202.0,0.835,40.9,46.7,15.0,30.0,39.6,64.3,52.1,56.4,60.1,47.4,60.4,67.6,40.0,30.0
9,ARG,Buenos Aires,2014,Argentina,9886932.0,-58.3816,-34.6037,ARG,188.697,-0.765,-1.454,192.413,3.715,1.969,4.426,4.513,0.535,7354.451999999998,0.499,0.231,0.235,0.193,4.336,5.5360000000000005,1.649,92.844,84.33200000000002,,0.102,0.13,0.039,2.177,1.978,,0.037000000000000005,0.718,1.409,0.457,0.292,513.75,4187.512,2307.909,173.356,171.925,0.073,0.805,1.144,1.149,0.503,467.82,10.972,118.12,2.77,45.27,1.062,978.402,22946.721,1.196,42638000.0,818000000000.0,41.6,91.377,44.6,46.0,0.836,63.61369863013696,-58.3815931,-34.603723200000005,3016817.0,202.0,0.836,41.6,44.6,15.0,29.5,39.6,63.5,49.9,56.4,53.9,44.9,60.0,68.9,30.0,30.0
10,ARG,Buenos Aires,2015,Argentina,11438694.0,-58.3816,-34.6037,ARG,192.366,1.944,3.668,201.59,9.224,4.795,4.466,4.68,0.546,7546.816999999999,0.5,0.229,0.24,0.192,4.5710000000000015,5.4670000000000005,1.88,93.535,86.914,,0.106,0.127,0.044,2.171,2.018,,0.037000000000000005,0.7290000000000001,1.383,0.519,0.32,519.217,4274.426,2401.443,175.235,176.49599999999995,0.073,0.8029999999999999,1.151,1.134,0.496,470.55,10.924,117.37,2.725,44.65,1.037,1001.33,23246.203,1.192,43075000.0,840000000000.0,,91.503,44.1,46.0,0.84,63.825549450549495,-58.3815931,-34.603723200000005,3016817.0,202.0,0.84,41.75,44.1,15.0,34.0,39.6,66.8,41.2,56.4,52.8,43.3,59.6,68.8,30.0,30.0
11,ARG,Buenos Aires,2016,Argentina,19667128.0,-58.3816,-34.6037,ARG,190.93,-0.747,-1.436,194.803,3.874,2.029,4.388,4.477,0.542,7737.7469999999985,0.501,0.233,0.238,0.191,4.029,4.192,1.898,96.301,84.51,,0.093,0.096,0.044,2.213,1.942,,0.029,0.706,1.388,0.511,0.275,523.409,4358.936,2497.744,177.13299999999995,180.525,0.07200000000000001,0.8009999999999999,1.159,1.12,0.487,482.08,11.08,121.54,2.794,48.33,1.111,999.218,22966.307,1.219,43508000.0,820000000000.0,42.0,91.627,43.8,46.0,0.8390000000000001,62.19393939393938,-58.3815931,-34.603723200000005,3016817.0,202.0,0.8390000000000001,42.0,43.8,15.0,34.0,39.6,66.1,51.3,56.4,56.0,43.9,44.0,67.4,30.0,30.0
12,ARG,Buenos Aires,2017,Argentina,13193864.0,-58.3816,-34.6037,ARG,187.416,-1.84,-3.514,194.793,7.377000000000002,3.936,4.266,4.433,0.525,7925.163,0.502,,,,4.029,4.279,1.806,96.442,80.859,,0.092,0.097,0.041,2.195,1.84,,0.03,0.664,1.356,0.447,0.273,527.688,4439.7959999999985,2594.186,178.94,184.554,0.071,0.7979999999999999,1.165,1.103,0.479,,,,,,,,,,43937000.0,,41.1,91.749,50.4,46.0,0.843,64.13780821917804,-58.3815931,-34.603723200000005,3016817.0,202.0,0.843,41.1,50.4,32.4,38.2,39.6,62.6,54.6,56.4,57.3,46.1,50.9,66.7,50.0,50.0
13,ARG,Buenos Aires,2018,Argentina,20511275.0,-58.3816,-34.6037,ARG,185.03,-1.273,-2.386,187.564,2.5340000000000003,1.37,4.171,4.228,0.508,8110.193,0.502,,,,4.029,4.684,1.806,97.251,77.26,,0.091,0.106,0.041,2.192,1.742,,0.032,0.631,1.2990000000000002,0.421,0.266,532.372,4517.055,2691.437,180.746,188.583,0.07,0.795,1.17,1.085,0.471,,,,,,,,,,44361000.0,,41.3,91.87,52.3,46.0,0.8420000000000001,63.4747222222223,,,,,,,,,,,,,,,,,,,
14,ARG,Buenos Aires,2019,Argentina,22299776.0,-58.3816,-34.6037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9,91.991,52.2,,,,,,,,,,,,,,,,,,,,,,
15,ARG,Camilo Aldao,2019,Argentina,91022.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9,91.991,52.2,,,,,,,,,,,,,,,,,,,,,,
16,ARG,Carcarana,2019,Argentina,104047.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9,91.991,52.2,,,,,,,,,,,,,,,,,,,,,,
17,ARG,Caseros,2019,Argentina,20938.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9,91.991,52.2,,,,,,,,,,,,,,,,,,,,,,
18,ARG,Centeno,2019,Argentina,18734.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9,91.991,52.2,,,,,,,,,,,,,,,,,,,,,,
