,Country Code,Country Name,City,CDP_id,CDP_Date_measure,CDP_Latitude,CDP_Longitude,CDP_Altitude,CDP_GDP,CDP_Land_Area,CDP_Population,CDP_Temperature,CDP_EmissionsScope1,CDP_EmissionsScope2,CDP_EmissionsScope3,CDP_TotalEmissions,CDP_Total+Emissions,CDP_Gas_CH4,CDP_Gas_CO2,CDP_Gas_N20,CDP_Gas_HFCs,CDP_Gas_NF3,CDP_Gas_PFCs,CDP_Gas_SF6,OWID_co2,OWID_co2_growth_prct,OWID_co2_growth_abs,OWID_consumption_co2,OWID_trade_co2,OWID_trade_co2_share,OWID_co2_per_capita,OWID_consumption_co2_per_capita,OWID_share_global_co2,OWID_cumulative_co2,OWID_share_global_cumulative_co2,OWID_co2_per_gdp,OWID_consumption_co2_per_gdp,OWID_co2_per_unit_energy,OWID_cement_co2,OWID_coal_co2,OWID_flaring_co2,OWID_gas_co2,OWID_oil_co2,OWID_other_industry_co2,OWID_cement_co2_per_capita,OWID_coal_co2_per_capita,OWID_flaring_co2_per_capita,OWID_gas_co2_per_capita,OWID_oil_co2_per_capita,OWID_other_co2_per_capita,OWID_share_global_coal_co2,OWID_share_global_oil_co2,OWID_share_global_gas_co2,OWID_share_global_flaring_co2,OWID_share_global_cement_co2,OWID_cumulative_coal_co2,OWID_cumulative_oil_co2,OWID_cumulative_gas_co2,OWID_cumulative_flaring_co2,OWID_cumulative_cement_co2,OWID_share_global_cumulative_coal_co2,OWID_share_global_cumulative_oil_co2,OWID_share_global_cumulative_gas_co2,OWID_share_global_cumulative_flaring_co2,OWID_share_global_cumulative_cement_co2,OWID_total_ghg,OWID_ghg_per_capita,OWID_methane,OWID_methane_per_capita,OWID_nitrous_oxide,OWID_nitrous_oxide_per_capita,OWID_primary_energy_consumption,OWID_energy_per_capita,OWID_energy_per_gdp,GINI_GINI,POP_Population,GDP_GDP,GDP_Property Rights,GDP_Government Integrity,GDP_Judicial Effectiveness,GDP_Tax Burden,GDP_Government Spending,GDP_Fiscal Health,GDP_Business Freedom,GDP_Labor Freedom,GDP_Monetary Freedom,GDP_Trade Freedom,GDP_Investment Freedom,GDP_Financial Freedom,HDI_HDI,CDP_inconsistent,CDP_pct_change2
0,ALB,Albania,Tirana,59163,2011.0,41.3275,19.8187,110.0,,1110.0,780531.0,15.0,,457173.0,,610773.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.404,20.212,0.909,6.186,0.782,14.462,1.874,2.145,0.015,271.513,0.017,,,,0.78,0.44,,0.084,4.1,,0.271,0.152,,0.029,1.422,,0.003,0.034,0.001,,0.053,65.683,172.627,16.06,,17.144000000000002,0.009000000000000001,0.031,0.006999999999999999,,0.045,,,,,,,,,,33.2,59.383,64.4,54.0,39.7,28.5,86.9,72.5,51.5,79.3,50.7,81.4,87.7,70.0,70.0,0.79,0.0,0.0
1,ARG,Argentina,Buenos Aires,31155,2013.5714285714287,-34.6037,-58.3816,25.0,39217081756.5,202.0,3015665.5,18.0,15967812.25,4179561.75,2433862.0,12887757.530000001,13731546.0,1.0,1.0,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,189.09849999999997,-0.5826666666666668,-1.1141666666666665,194.10633333333337,5.008,2.641166666666667,4.3705,4.486,0.5331666666666667,7640.021,0.5003333333333333,0.2295,0.23525,0.1925,4.2625,4.833000000000001,1.8210000000000004,94.6185,83.56349999999999,,0.09883333333333333,0.11183333333333333,0.042333333333333334,2.1854999999999998,1.932333333333333,,0.03283333333333333,0.7000000000000001,1.3718333333333332,0.48266666666666663,0.29116666666666674,520.775,4313.484166666666,2451.2973333333334,176.18616666666665,178.27866666666668,0.07216666666666667,0.8015,1.154,1.1261666666666665,0.49150000000000005,471.74249999999995,11.008,119.19500000000001,2.78175,45.9225,1.07175,990.3885,23111.473250000003,1.19175,41.63333333333333,91.62371428571429,47.72857142857142,25.857142857142858,33.114285714285714,42.86666666666667,65.47142857142858,50.6,47.333333333333336,56.1,45.11428571428571,55.199999999999996,68.52857142857144,41.42857142857143,41.42857142857143,0.8391666666666667,0.0,0.07821202090881545
2,ARG,Argentina,Cordoba,50371,2014.6666666666667,-31.4201,-64.1888,390.0,12302882987.0,576.0,1473633.3333333333,17.7,3606929.0,1349955.0,0.0,5004314.666666667,0.0,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,186.223,-1.5565,-2.95,191.17849999999999,4.955500000000001,2.653,4.218500000000001,4.3305,0.5165,8017.678,0.502,,,,4.029,4.4815000000000005,1.806,96.84649999999999,79.0595,,0.0915,0.1015,0.041,2.1935000000000002,1.791,,0.031,0.6475,1.3275000000000001,0.434,0.2695,530.03,4478.425499999999,2642.8115,179.84300000000002,186.5685,0.07050000000000001,0.7965,1.1675,1.0939999999999999,0.475,,,,,,,,,,41.76666666666667,91.87,51.633333333333326,40.33333333333333,34.76666666666667,42.86666666666667,65.86666666666667,53.23333333333333,47.333333333333336,56.63333333333333,45.43333333333334,54.133333333333326,69.0,53.333333333333336,56.666666666666664,0.8425,0.0,-0.018603074680381287
3,ARG,Argentina,General Alvear Buenos Aires,69834,2014.0,-34.978,-67.6955,,,,46429.0,,365148.77,30341.85,4653.97,180114.77,400144.59,1.0,1.0,1.0,1.0,1.0,1.0,1.0,185.03,-1.273,-2.386,187.564,2.5340000000000003,1.37,4.171,4.228,0.508,8110.193,0.502,,,,4.029,4.684,1.806,97.251,77.26,,0.091,0.106,0.041,2.192,1.742,,0.032,0.631,1.2990000000000002,0.421,0.266,532.372,4517.055,2691.437,180.746,188.583,0.07,0.795,1.17,1.085,0.471,,,,,,,,,,41.3,91.87,52.3,40.8,32.6,44.5,65.7,55.6,52.6,56.2,43.3,51.3,70.3,55.0,60.0,0.8420000000000001,0.0,0.0
4,ARG,Argentina,Mendoza,50357,2015.0,-32.8894,-68.8458,,,,115041.0,,39246500.0,14777757.0,15965039.0,61862524.0,69989296.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,185.03,-1.273,-2.386,187.564,2.5340000000000003,1.37,4.171,4.228,0.508,8110.193,0.502,,,,4.029,4.684,1.806,97.251,77.26,,0.091,0.106,0.041,2.192,1.742,,0.032,0.631,1.2990000000000002,0.421,0.266,532.372,4517.055,2691.437,180.746,188.583,0.07,0.795,1.17,1.085,0.471,,,,,,,,,,41.3,91.87,52.3,40.8,32.6,44.5,65.7,55.6,52.6,56.2,43.3,51.3,70.3,55.0,60.0,0.8420000000000001,0.0,0.0
5,ARG,Argentina,Rio Grande,60419,2015.0,-53.786,-67.7002,18.0,35124.0,938.0,85373.25,6.0,981954.0,,12815.0,810086.0,810086.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,186.223,-1.5565,-2.95,191.17849999999999,4.955500000000001,2.653,4.218500000000001,4.3305,0.5165,8017.678,0.502,,,,4.029,4.4815000000000005,1.806,96.84649999999999,79.0595,,0.0915,0.1015,0.041,2.1935000000000002,1.791,,0.031,0.6475,1.3275000000000001,0.434,0.2695,530.03,4478.425499999999,2642.8115,179.84300000000002,186.5685,0.07050000000000001,0.7965,1.1675,1.0939999999999999,0.475,,,,,,,,,,41.76666666666667,91.87,51.99999999999999,42.875,38.5,43.9,66.80000000000001,52.599999999999994,41.675,57.525000000000006,45.7,54.02499999999999,69.05,53.75,57.5,0.8425,0.0,0.0
6,AUS,Australia,Adelaide,32480,2015.3333333333333,-34.9285,138.601,38.0,18242000000.0,16.0,23566.666666666668,18.0,162443.33333333334,404196.0,384007.0,532456.6666666666,917405.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,414.0276666666666,1.1849999999999998,4.8,384.27500000000003,-29.752,-7.1819999999999995,16.843666666666667,15.635333333333334,1.1573333333333333,17355.256999999998,1.098,0.384,0.36,0.249,2.964,175.24033333333333,15.065666666666667,76.89,139.965,3.9026666666666663,0.12066666666666666,7.131333333333334,0.6123333333333334,3.127333333333333,5.6930000000000005,0.159,1.2116666666666667,1.1533333333333333,1.071,3.7369999999999997,0.19933333333333336,9702.188666666667,5302.757,1832.117,237.53633333333335,182.53633333333335,1.3053333333333335,0.9533333333333333,0.8220000000000001,1.4623333333333333,0.474,519.09,21.394,122.11,5.033,57.18,2.357,1653.0120000000004,68128.936,1.545,,85.90533333333333,80.73333333333333,83.46666666666665,77.4,93.15,63.13333333333333,60.73333333333333,84.44999999999999,89.26666666666665,80.33333333333333,86.33333333333333,86.26666666666667,80.0,90.0,0.941,0.0,0.03862027392034787
7,AUS,Australia,Byron Shire,58543,2016.0,-28.6534,153.533,,1460000000.0,556.0,29209.0,23.7,,,,263199.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,415.097,0.989,4.066,388.634,-26.463,-6.375,16.884,15.808,1.163,17354.971999999998,1.098,,,,3.019,176.90599999999995,15.184,76.436,139.65200000000002,3.9,0.123,7.1960000000000015,0.618,3.109,5.68,0.159,1.227,1.147,1.074,3.759,0.204,9704.736,5301.5909999999985,1831.119,236.842,182.562,1.306,0.953,0.8220000000000001,1.46,0.474,,,,,,,,,,,85.904,81.0,81.7,74.8,92.9,63.2,59.0,84.6,89.3,84.1,86.4,86.2,80.0,90.0,0.941,0.0,0.0
8,AUS,Australia,Canberra,43928,2015.0,-35.3075,149.124,578.0,35545500000.0,2358.0,400000.0,13.5,1785400.0,2240300.0,,4009766.6666666665,,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,1.0,409.228,1.7453333333333332,6.993666666666666,389.924,-19.30333333333333,-4.686333333333333,16.868,16.076,1.1566666666666665,16941.229666666666,1.0966666666666667,0.383,0.3685,0.2485,3.0086666666666666,176.88166666666666,13.016333333333334,74.348,138.02966666666669,3.9443333333333332,0.12433333333333334,7.291333333333334,0.536,3.064,5.689666666666667,0.16266666666666665,1.2226666666666668,1.1483333333333334,1.0713333333333335,3.420666666666667,0.20633333333333334,9526.948333333334,5162.7919999999995,1755.2269999999999,222.47033333333331,179.57233333333332,1.3070000000000002,0.949,0.8136666666666668,1.4043333333333334,0.48500000000000004,527.71,21.9025,129.59,5.380000000000001,65.35,2.7145,1636.121,67894.269,1.5434999999999999,,85.80166666666668,80.89999999999999,87.23333333333333,78.60000000000001,92.9,63.366666666666674,60.93333333333334,84.6,90.93333333333334,80.96666666666667,85.63333333333333,86.33333333333333,80.0,90.0,0.9393333333333332,0.0,0.005825258119491379
9,AUS,Australia,Hobart,53254,2015.0,-42.8901,147.281,9.0,,7791.0,50547.5,12.0,294541.5,119229.0,9133.0,425970.5,,0.5,1.0,0.5,0.5,0.5,0.5,0.5,415.52549999999997,0.5975,2.4615,383.778,-31.747,-7.6389999999999985,16.795,15.5135,1.1524999999999999,17562.9485,1.0985,,,,2.9805,173.08549999999997,16.2255,77.933,141.401,3.8994999999999997,0.1205,6.997,0.656,3.1494999999999997,5.714499999999999,0.158,1.1925,1.1575,1.0675,3.8895,0.199,9789.3685,5373.165999999999,1870.8339999999998,245.4755,184.03300000000002,1.3045,0.9555,0.8260000000000001,1.4929999999999999,0.4685,,,,,,,,,,,85.958,80.95,80.2,76.1,93.15,63.1,60.1,84.44999999999999,89.19999999999999,81.9,86.9,86.2,80.0,90.0,0.942,0.0,0.25682820683041974
