,Country Code,Country Name,City,CDP_id,CDP_Date_measure,CDP_Latitude,CDP_Longitude,CDP_Altitude,CDP_GDP,CDP_Land_Area,CDP_Population,CDP_Temperature,CDP_EmissionsScope1,CDP_EmissionsScope2,CDP_EmissionsScope3,CDP_TotalEmissions,CDP_Total+Emissions,CDP_Gas_CH4,CDP_Gas_CO2,CDP_Gas_N20,CDP_Gas_HFCs,CDP_Gas_NF3,CDP_Gas_PFCs,CDP_Gas_SF6,OWID_co2,OWID_co2_growth_prct,OWID_co2_growth_abs,OWID_consumption_co2,OWID_trade_co2,OWID_trade_co2_share,OWID_co2_per_capita,OWID_consumption_co2_per_capita,OWID_share_global_co2,OWID_cumulative_co2,OWID_share_global_cumulative_co2,OWID_co2_per_gdp,OWID_consumption_co2_per_gdp,OWID_co2_per_unit_energy,OWID_cement_co2,OWID_coal_co2,OWID_flaring_co2,OWID_gas_co2,OWID_oil_co2,OWID_other_industry_co2,OWID_cement_co2_per_capita,OWID_coal_co2_per_capita,OWID_flaring_co2_per_capita,OWID_gas_co2_per_capita,OWID_oil_co2_per_capita,OWID_other_co2_per_capita,OWID_share_global_coal_co2,OWID_share_global_oil_co2,OWID_share_global_gas_co2,OWID_share_global_flaring_co2,OWID_share_global_cement_co2,OWID_cumulative_coal_co2,OWID_cumulative_oil_co2,OWID_cumulative_gas_co2,OWID_cumulative_flaring_co2,OWID_cumulative_cement_co2,OWID_share_global_cumulative_coal_co2,OWID_share_global_cumulative_oil_co2,OWID_share_global_cumulative_gas_co2,OWID_share_global_cumulative_flaring_co2,OWID_share_global_cumulative_cement_co2,OWID_total_ghg,OWID_ghg_per_capita,OWID_methane,OWID_methane_per_capita,OWID_nitrous_oxide,OWID_nitrous_oxide_per_capita,OWID_primary_energy_consumption,OWID_energy_per_capita,OWID_energy_per_gdp,GINI_GINI,POP_Population,GDP_GDP,GDP_Property Rights,GDP_Government Integrity,GDP_Judicial Effectiveness,GDP_Tax Burden,GDP_Government Spending,GDP_Fiscal Health,GDP_Business Freedom,GDP_Labor Freedom,GDP_Monetary Freedom,GDP_Trade Freedom,GDP_Investment Freedom,GDP_Financial Freedom,HDI_HDI,CDP_inconsistent,CDP_pct_change2,Emission_Population,Classif,CategClassif
0,ALB,Albania,Tirana,59163,2011.0,41.3275,19.8187,110.0,,1110.0,780531.0,15.0,,457173.0,,610773.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.404,20.212,0.909,6.186,0.782,14.462,1.874,2.145,0.015,271.513,0.017,,,,0.78,0.44,,0.084,4.1,,0.271,0.152,,0.028999999999999998,1.422,,0.003,0.034,0.001,,0.053,65.683,172.627,16.06,,17.144000000000002,0.009000000000000001,0.031,0.006999999999999999,,0.045,,,,,,,,,,33.2,59.383,64.4,54.0,39.7,28.5,86.9,72.5,51.5,79.3,50.7,81.4,87.7,70.0,70.0,0.79,0.0,0.0,0.7825095992343674,1,5
1,ARG,Argentina,Buenos Aires,31155,2013.571428571429,-34.6037,-58.3816,25.0,39217081756.5,202.0,3015665.5,18.0,15967812.25,4179561.75,2433862.0,12887757.53,13731546.0,1.0,1.0,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,189.0985,-0.5826666666666668,-1.1141666666666663,194.10633333333337,5.008,2.641166666666667,4.3705,4.486000000000001,0.5331666666666667,7640.021,0.5003333333333333,0.2295,0.23525,0.1925,4.2625,4.833000000000001,1.8210000000000004,94.6185,83.56349999999998,,0.09883333333333333,0.11183333333333333,0.04233333333333333,2.1855,1.9323333333333332,,0.03283333333333333,0.7000000000000001,1.3718333333333332,0.4826666666666666,0.29116666666666674,520.775,4313.484166666666,2451.297333333333,176.18616666666665,178.27866666666668,0.07216666666666667,0.8015,1.1540000000000001,1.1261666666666663,0.4915000000000001,471.7425,11.008,119.195,2.78175,45.9225,1.07175,990.3885,23111.473250000006,1.19175,41.63333333333333,91.62371428571429,47.72857142857143,25.857142857142854,33.114285714285714,42.86666666666667,65.47142857142858,50.6,47.33333333333334,56.1,45.11428571428571,55.2,68.52857142857144,41.42857142857143,41.42857142857143,0.8391666666666667,0.0,0.07821202090881545,4.27360313337139,1,2
2,ARG,Argentina,Cordoba,50371,2014.666666666667,-31.4201,-64.1888,390.0,12302882987.0,576.0,1473633.333333333,17.7,3606929.0,1349955.0,0.0,5004314.666666667,0.0,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,186.22299999999998,-1.5565,-2.95,191.1785,4.955500000000002,2.653,4.2185000000000015,4.3305,0.5165,8017.678000000001,0.502,,,,4.029,4.4815000000000005,1.806,96.8465,79.0595,,0.0915,0.1015,0.040999999999999995,2.1935,1.791,,0.031,0.6475,1.3275,0.434,0.2695,530.03,4478.4254999999985,2642.8115,179.84300000000005,186.5685,0.07050000000000001,0.7965,1.1675,1.094,0.475,,,,,,,,,,41.76666666666667,91.87,51.63333333333333,40.33333333333333,34.76666666666667,42.86666666666667,65.86666666666667,53.23333333333333,47.33333333333334,56.63333333333333,45.43333333333334,54.13333333333333,69.0,53.33333333333334,56.66666666666666,0.8425,0.0,-0.018603074680381287,3.3959021918613868,1,5
3,ARG,Argentina,General Alvear Buenos Aires,69834,2014.0,-34.978,-67.6955,,,,46429.0,,365148.77,30341.85,4653.97,180114.77,400144.59,1.0,1.0,1.0,1.0,1.0,1.0,1.0,185.03,-1.273,-2.386,187.56400000000002,2.5340000000000003,1.37,4.171,4.228,0.508,8110.193,0.502,,,,4.029,4.684,1.806,97.251,77.26,,0.091,0.106,0.040999999999999995,2.1919999999999997,1.742,,0.032,0.631,1.2990000000000002,0.42100000000000004,0.266,532.372,4517.055,2691.437,180.74599999999998,188.583,0.07,0.795,1.17,1.085,0.47100000000000003,,,,,,,,,,41.3,91.87,52.3,40.8,32.6,44.5,65.7,55.6,52.6,56.2,43.3,51.3,70.3,55.0,60.0,0.8420000000000001,0.0,0.0,3.879359236683969,1,5
4,ARG,Argentina,Mendoza,50357,2015.0,-32.8894,-68.8458,,,,115041.0,,39246500.0,14777757.0,15965039.0,61862524.0,69989296.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,185.03,-1.273,-2.386,187.56400000000002,2.5340000000000003,1.37,4.171,4.228,0.508,8110.193,0.502,,,,4.029,4.684,1.806,97.251,77.26,,0.091,0.106,0.040999999999999995,2.1919999999999997,1.742,,0.032,0.631,1.2990000000000002,0.42100000000000004,0.266,532.372,4517.055,2691.437,180.74599999999998,188.583,0.07,0.795,1.17,1.085,0.47100000000000003,,,,,,,,,,41.3,91.87,52.3,40.8,32.6,44.5,65.7,55.6,52.6,56.2,43.3,51.3,70.3,55.0,60.0,0.8420000000000001,0.0,0.0,537.7432741370468,0,1
5,ARG,Argentina,Rio Grande,60419,2015.0,-53.786,-67.7002,18.0,35124.0,938.0,85373.25,6.0,981954.0,,12815.0,810086.0,810086.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,186.22299999999998,-1.5565,-2.95,191.1785,4.955500000000002,2.653,4.2185000000000015,4.3305,0.5165,8017.678000000001,0.502,,,,4.029,4.4815000000000005,1.806,96.8465,79.0595,,0.0915,0.1015,0.040999999999999995,2.1935,1.791,,0.031,0.6475,1.3275,0.434,0.2695,530.03,4478.4254999999985,2642.8115,179.84300000000005,186.5685,0.07050000000000001,0.7965,1.1675,1.094,0.475,,,,,,,,,,41.76666666666667,91.87,51.99999999999999,42.875,38.5,43.9,66.80000000000001,52.6,41.675,57.52500000000001,45.7,54.02499999999999,69.05,53.75,57.5,0.8425,0.0,0.0,9.488756724149543,0,3
6,AUS,Australia,Adelaide,32480,2015.333333333333,-34.9285,138.601,38.0,18242000000.0,16.0,23566.66666666667,18.0,162443.33333333337,404196.0,384007.0,532456.6666666665,917405.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,414.0276666666666,1.1849999999999998,4.8,384.275,-29.752,-7.182,16.843666666666667,15.635333333333335,1.157333333333333,17355.256999999998,1.0979999999999999,0.384,0.36,0.249,2.964,175.24033333333333,15.065666666666667,76.89,139.965,3.9026666666666654,0.12066666666666664,7.131333333333334,0.6123333333333334,3.127333333333333,5.6930000000000005,0.159,1.211666666666667,1.153333333333333,1.071,3.737,0.19933333333333336,9702.188666666667,5302.757,1832.1170000000002,237.53633333333332,182.53633333333332,1.3053333333333337,0.9533333333333333,0.8220000000000001,1.4623333333333333,0.474,519.09,21.394000000000002,122.11,5.033,57.18,2.3569999999999998,1653.0120000000006,68128.936,1.545,,85.90533333333332,80.73333333333333,83.46666666666665,77.4,93.15,63.13333333333333,60.73333333333333,84.44999999999997,89.26666666666667,80.33333333333333,86.33333333333331,86.26666666666668,80.0,90.0,0.941,0.0,0.03862027392034787,22.593635077793483,1,3
7,AUS,Australia,Byron Shire,58543,2016.0,-28.6534,153.533,,1460000000.0,556.0,29209.0,23.7,,,,263199.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,415.097,0.9890000000000001,4.066,388.634,-26.463,-6.375,16.884,15.808,1.163,17354.971999999998,1.0979999999999999,,,,3.0189999999999997,176.90599999999995,15.184000000000001,76.436,139.65200000000002,3.9,0.12300000000000001,7.1960000000000015,0.618,3.109,5.68,0.159,1.227,1.147,1.074,3.759,0.204,9704.735999999999,5301.5909999999985,1831.119,236.842,182.562,1.306,0.953,0.8220000000000001,1.46,0.474,,,,,,,,,,,85.904,81.0,81.7,74.8,92.9,63.2,59.0,84.6,89.3,84.1,86.4,86.2,80.0,90.0,0.941,0.0,0.0,9.01088705535965,0,3
8,AUS,Australia,Canberra,43928,2015.0,-35.3075,149.124,578.0,35545500000.0,2358.0,400000.0,13.5,1785400.0,2240300.0,,4009766.666666666,,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,1.0,409.228,1.7453333333333332,6.993666666666666,389.92400000000004,-19.303333333333327,-4.686333333333333,16.868,16.076,1.1566666666666665,16941.229666666666,1.096666666666667,0.38299999999999995,0.3685,0.2485,3.0086666666666666,176.88166666666663,13.016333333333336,74.348,138.02966666666669,3.944333333333333,0.12433333333333335,7.291333333333334,0.536,3.0639999999999996,5.6896666666666675,0.16266666666666665,1.2226666666666668,1.1483333333333334,1.0713333333333337,3.420666666666667,0.2063333333333333,9526.948333333334,5162.792,1755.227,222.4703333333333,179.57233333333332,1.3070000000000002,0.9490000000000001,0.8136666666666668,1.4043333333333334,0.485,527.71,21.9025,129.59,5.380000000000001,65.35,2.7145,1636.121,67894.269,1.5435,,85.80166666666669,80.89999999999998,87.23333333333332,78.60000000000002,92.9,63.36666666666667,60.93333333333334,84.6,90.93333333333334,80.96666666666667,85.63333333333333,86.33333333333331,80.0,90.0,0.9393333333333332,0.0,0.005825258119491379,10.024416666666665,1,3
9,AUS,Australia,Hobart,53254,2015.0,-42.8901,147.281,9.0,,7791.0,50547.5,12.0,294541.5,119229.0,9133.0,425970.5,,0.5,1.0,0.5,0.5,0.5,0.5,0.5,415.5255,0.5975,2.4615,383.778,-31.747,-7.6389999999999985,16.795,15.5135,1.1525,17562.9485,1.0985,,,,2.9805,173.08549999999997,16.2255,77.933,141.401,3.8995,0.1205,6.997000000000001,0.6559999999999999,3.1495,5.714499999999999,0.158,1.1925,1.1575,1.0675,3.8895,0.19899999999999998,9789.3685,5373.165999999998,1870.834,245.4755,184.033,1.3045,0.9555,0.8260000000000001,1.493,0.4685,,,,,,,,,,,85.958,80.95,80.2,76.1,93.15,63.1,60.1,84.44999999999997,89.19999999999997,81.9,86.9,86.2,80.0,90.0,0.9420000000000001,0.0,0.2568282068304197,8.427132894801918,1,5
